Тип занятия,Дата,Избранное,Название,Расстояние,Калории,Время,Средняя ЧП,Максимальная ЧП,Средняя скорость,Максимальная скорость,Общий подъем,Средняя длина шага,Среднее вертикальное соотношение,Среднее вертикальное колебание,Среднее время контакта с землей,Средняя частота вращения,Максимальная частота вращения,Normalized Power® (NP®),Training Stress Score®,Максимальная средняя мощность (20 минут),Средняя мощность,Максимальная мощность,Сложность,Флоу,Средний балл SWOLF,Средняя частота гребков,Общее число повторов,Общее время погружений,Минимальная температура,Поверхностный интервал,Декомпрессия,Время лучшего круга,Количество кругов,Максимальная температура,Расстояние,Время в движении,Истекшее время,Минимальная высота,Максимальная высота
Велотренажер,2023-11-22 05:04:59,false,"Без имени","40.49","673","01:07:37","140","159","35.9","77.5","390","0.00","0.0","0.0","0","88","118","193","0.0","217","169","473","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","07:37.100","2","0.0","40.49","01:07:32","01:07:36","3","156"
Велотренажер,2023-11-21 20:00:18,false,"Без имени","28.23","477","00:46:37","143","167","36.3","59.1","174","0.00","0.0","0.0","0","89","143","228","0.0","219","176","825","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","46:37.30","1","0.0","28.23","00:45:44","00:46:37","10","34"
Велотренажер,2023-11-20 20:00:20,false,"Без имени","45.12","722","01:16:55","138","161","35.2","59.7","295","0.00","0.0","0.0","0","85","118","186","0.0","212","163","430","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:16:55.25","1","0.0","45.12","01:16:34","01:16:37","-6","132"
Велотренажер,2023-11-19 05:30:26,false,"Без имени","30.89","633","00:58:53","139","161","31.5","83.6","685","0.00","0.0","0.0","0","85","134","215","0.0","226","187","692","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","58:52.100","1","0.0","30.89","00:58:48","00:58:52","-6","516"
Велотренажер,2023-11-18 06:04:52,false,"Без имени","38.47","619","01:13:38","125","156","31.3","71.6","374","0.00","0.0","0.0","0","77","110","187","0.0","203","147","391","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","13:39.23","2","0.0","38.47","01:12:04","01:13:37","3","156"
Велотренажер,2023-11-16 05:33:19,false,"Без имени","30.44","535","01:05:29","121","151","27.9","85.9","683","0.00","0.0","0.0","0","74","113","185","0.0","221","143","414","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:05:29.00","1","0.0","30.44","01:05:25","01:05:28","-6","516"
Велотренажер,2023-11-14 20:00:13,false,"Без имени","30.19","477","00:51:48","133","164","35.0","61.3","200","0.00","0.0","0.0","0","84","138","217","0.0","207","158","821","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","51:47.100","1","0.0","30.19","00:51:33","00:51:47","10","34"
Велотренажер,2023-11-14 05:30:17,false,"Без имени","25.16","475","00:49:15","132","154","30.6","71.6","527","0.00","0.0","0.0","0","82","131","209","0.0","226","162","713","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","49:15.00","1","0.0","25.16","00:49:03","00:49:14","-6","375"
Велотренажер,2023-11-13 19:31:28,false,"Без имени","30.35","514","00:59:25","127","156","30.6","74.2","461","0.00","0.0","0.0","0","78","130","193","0.0","199","150","681","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","59:25.00","1","0.0","30.35","00:57:43","00:59:25","3","156"
Велотренажер,2023-11-13 05:32:48,false,"Без имени","20.09","287","00:38:23","120","156","31.4","55.2","221","0.00","0.0","0.0","0","75","129","210","0.0","156","131","620","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","38:22.100","1","0.0","20.09","00:38:19","00:38:22","0","58"
Велотренажер,2023-11-13 05:32:48,false,"Без имени","20.09","287","00:38:23","120","156","31.4","55.2","221","0.00","0.0","0.0","0","75","129","210","0.0","156","131","620","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","38:22.100","1","0.0","20.09","00:38:19","00:38:22","0","58"
Велотренажер,2023-11-12 06:01:42,false,"Без имени","42.27","707","01:20:41","126","158","31.4","63.6","736","0.00","0.0","0.0","0","78","124","191","0.0","230","153","516","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:20:41.05","1","0.0","42.27","01:19:53","01:20:40","-6","374"
Велотренажер,2023-11-11 06:01:22,false,"Без имени","42.92","700","01:09:27","129","156","37.1","58.4","171","0.00","0.0","0.0","0","87","130","201","0.0","223","175","729","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:09:26.100","1","0.0","42.92","01:09:22","01:09:27","-6","28"
Велотренажер,2023-11-10 19:31:24,false,"Без имени","41.25","758","01:14:25","142","159","33.3","64.4","736","0.00","0.0","0.0","0","88","142","194","0.0","219","171","453","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:14:25.00","1","0.0","41.25","01:14:17","01:14:26","-6","374"
Велотренажер,2023-11-09 20:02:16,false,"Без имени","26.87","481","00:43:34","144","169","37.0","65.2","214","0.00","0.0","0.0","0","85","135","229","0.0","234","185","673","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","43:34.00","1","0.0","26.87","00:43:27","00:43:33","-6","132"
Велотренажер,2023-11-09 05:31:25,false,"Без имени","33.70","597","00:59:32","140","155","34.0","65.2","287","0.00","0.0","0.0","0","84","129","203","0.0","219","174","646","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","59:31.100","1","0.0","33.70","00:59:04","00:59:31","-6","100"
Велотренажер,2023-11-08 05:33:50,false,"Без имени","39.04","675","01:14:10","136","159","31.6","63.6","723","0.00","0.0","0.0","0","78","119","193","0.0","215","159","359","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:14:10.22","1","0.0","39.04","01:13:38","01:13:43","-6","374"
