Name,MC,MP
BitcoinBTC,"127,155,068,072,633",5941.83
EthereumETH,"39,579,418,182,631",1849.51
Tether_USDtUSDT,"9,979,013,375,506",466.31
BNBBNB,"8,111,700,968,015",379.05
SolanaSOL,"7,176,959,576,973",335.37
XRPXRP,"3,139,040,297,735",146.68
USDCUSDC,"3,004,074,475,707",140.38
DogecoinDOGE,"2,554,063,953,398",119.35
ToncoinTON,"2,201,016,543,038",102.85
CardanoADA,"1,939,905,254,725",90.65
AvalancheAVAX,"1,671,070,352,520",78.09
Shiba_InuSHIB,"1,514,283,755,675",70.76
Bitcoin_CashBCH,"1,154,743,648,019",53.96
PolkadotDOT,"1,139,803,078,545",53.26
TRONTRX,"1,009,552,066,466",47.18
ChainlinkLINK,"952,177,263,640",44.49
PolygonMATIC,"822,235,251,962",38.42
NEAR_ProtocolNEAR,"692,910,469,409",32.38
Internet_ComputerICP,"688,067,098,514",32.15
LitecoinLTC,"674,446,968,948",31.52
UniswapUNI,"624,520,546,356",29.18
UNUS_SED_LEOLEO,"503,797,851,271",23.54
DaiDAI,"498,069,619,536",23.27
AptosAPT,"454,406,030,989",21.23
Ethereum_ClassicETC,"449,090,842,759",20.99
StacksSTX,"427,131,515,252",19.96
FilecoinFIL,"427,812,420,056",19.99
MantleMNT,"409,068,588,995",19.12
CosmosATOM,"393,499,445,067",18.39
BittensorTAO,"390,946,720,486",18.27
ArbitrumARB,"366,617,358,384",17.13
CronosCRO,"363,333,577,766",16.98
ImmutableIMX,"350,279,276,853",16.37
StellarXLM,"348,935,374,257",16.31
RenderRNDR,"332,402,261,735",15.53
dogwifhatWIF,"327,866,250,767",15.32
HederaHBAR,"323,319,755,699",15.11
OKBOKB,"320,108,959,960",14.96
VeChainVET,"308,999,850,883",14.44
First_Digital_USDFDUSD,"307,037,508,336",14.35
KaspaKAS,"295,929,085,931",13.83
MakerMKR,"292,238,250,340",13.66
The_GraphGRT,"289,977,511,602",13.55
InjectiveINJ,"285,801,683,363",13.36
OptimismOP,"284,962,461,099",13.32
PepePEPE,"275,464,240,414",12.87
FantomFTM,"264,506,582,307",12.36
Theta_NetworkTHETA,"256,289,350,276",11.98
THORChainRUNE,"229,363,500,237",10.72
MoneroXMR,"227,286,678,594",10.62
Lido_DAOLDO,"221,480,498,879",10.35
Fetch.aiFET,"201,991,030,983",9.44
CoreCORE,"192,270,240,133",8.98
ArweaveAR,"189,228,463,464",8.84
SuiSUI,"188,512,513,705",8.81
CelestiaTIA,"187,972,587,505",8.78
EthenaENA,"186,124,221,179",8.7
AaveAAVE,"175,679,179,892",8.21
AlgorandALGO,"173,095,303,388",8.09
FLOKIFLOKI,"172,323,651,456",8.05
Bitcoin_SVBSV,"171,737,220,526",8.03
FlowFLOW,"171,425,380,409",8.01
GalaGALA,"170,191,798,371",7.95
SeiSEI,"169,720,198,315",7.93
Bitget_TokenBGB,"168,099,931,908",7.86
JupiterJUP,"167,336,058,500",7.82
BeamBEAM,"151,166,550,469",7.06
PendlePENDLE,"147,988,224,735",6.92
Nervos_NetworkCKB,"144,231,041,968",6.74
WormholeW,"142,323,069,888",6.65
ORDIORDI,"137,828,987,087",6.44
BitTorrent_(New)BTT,"134,790,772,191",6.3
FlareFLR,"134,520,452,022",6.29
BonkBONK,"134,493,514,643",6.28
MultiversXEGLD,"133,391,540,646",6.23
QuantQNT,"132,304,951,297",6.18
dYdX_(Native)DYDX,"132,557,695,354",6.19
NeoNEO,"131,810,448,519",6.16
Axie_InfinityAXS,"130,604,856,327",6.1
eCashXEC,"129,893,298,657",6.07
The_SandboxSAND,"128,786,612,798",6.02
StarknetSTRK,"125,954,026,251",5.89
SingularityNETAGIX,"124,158,255,916",5.8
ChilizCHZ,"119,670,021,457",5.59
SynthetixSNX,"119,707,325,915",5.59
ConfluxCFX,"116,935,533,604",5.46
TezosXTZ,"114,992,703,370",5.37
WorldcoinWLD,"111,246,260,427",5.2
EOSEOS,"110,530,238,597",5.16
RoninRON,"108,517,424,103",5.07
DecentralandMANA,"107,469,770,677",5.02
Pyth_NetworkPYTH,"106,802,711,857",4.99
MinaMINA,"105,579,011,501",4.93
OndoONDO,"101,584,964,662",4.75
KuCoin_TokenKCS,"95,149,092,505",4.45
JasmyCoinJASMY,"94,978,732,778",4.44
KavaKAVA,"94,219,062,691",4.4
ApeCoinAPE,"94,035,813,021",4.39
SATS1000SATS,"91,313,172,925",4.27
IOTAIOTA,"90,225,194,318",4.22
