,Unnamed: 0,#,Наименование,Цена,1h %,% 24ч,7d %,Рыночная капитализация,Объем (24 ч),Циркулирующее предложение,Последние 7 дней
0,,1,BitcoinBTC,"₽6,4...00.90",0.93%,1.87%,3.15%,"₽126.63T₽126,631,777,492,857","₽3,162,718,828,417492,026 BTC","19,678,568 BTC",
1,,2,EthereumETH,"₽327,126.32",1.24%,3.05%,5.25%,"₽39.32T₽39,322,793,080,078","₽1,519,400,491,9264,650,420 ETH","120,070,188 ETH",
2,,3,Tether USDtUSDT,₽93.21,0.18%,0.57%,1.05%,"₽9.99T₽9,988,985,146,095","₽6,090,165,214,87365,353,588,258 USDT","107,189,305,523 USDT",
3,,4,BNBBNB,"₽54,660.40",0.50%,0.98%,3.73%,"₽8.18T₽8,176,915,616,162","₽177,947,603,8193,264,312 BNB","149,534,701 BNB",
4,,5,SolanaSOL,"₽16,007.98",1.02%,2.20%,10.12%,"₽7.14T₽7,136,346,679,559","₽249,803,148,21215,639,763 SOL","445,687,377 SOL",
5,,6,XRPXRP,₽56.83,0.64%,0.22%,2.65%,"₽3.13T₽3,128,849,003,110","₽223,943,985,0783,932,820,410 XRP","55,051,549,471 XRP",
6,,7,USDCUSDC,₽93.22,0.19%,0.51%,0.97%,"₽3.01T₽3,006,607,742,857","₽689,168,266,1227,393,867,172 USDC","32,260,128,558 USDC",
7,,8,DogecoinDOGE,₽17.57,1.29%,3.68%,1.36%,"₽2.53T₽2,526,879,290,360","₽187,136,219,73110,653,661,200 DOGE","143,824,996,384 DOGE",
8,,9,ToncoinTON,₽635.17,0.47%,1.90%,32.38%,"₽2.2T₽2,201,897,058,492","₽61,825,444,75498,181,777 TON","3,470,699,595 TON",
9,,10,CardanoADA,₽54.16,1.16%,3.65%,2.01%,"₽1.93T₽1,928,536,093,428","₽49,841,380,344920,425,279 ADA","35,606,409,887 ADA",
10,,11,AvalancheAVAX,"₽4,403.25",0.79%,2.02%,1.86%,"₽1.66T₽1,664,152,703,340","₽40,044,906,3879,115,513 AVAX","377,909,927 AVAX",
11,,12,Shiba InuSHIB,₽0.002562,0.71%,2.80%,0.69%,"₽1.51T₽1,509,342,250,837","₽52,825,149,19820,655,587,302,033 SHIB","589,289,410,812,691 SHIB",
12,,13,Bitcoin CashBCH,"₽58,589.25",1.10%,5.49%,2.79%,"₽1.15T₽1,153,549,299,315","₽114,520,000,9091,968,898 BCH","19,689,591 BCH",
13,,14,PolkadotDOT,₽791.37,1.31%,4.00%,2.71%,"₽1.13T₽1,133,373,644,796","₽27,548,516,39334,899,775 DOT","1,431,901,455 DOT",
14,,15,TRONTRX,₽11.45,0.20%,0.59%,2.95%,"₽1T₽1,003,375,920,566","₽30,863,619,1252,692,882,495 TRX","87,669,464,061 TRX",
15,,16,ChainlinkLINK,"₽1,620.42",0.61%,1.70%,4.44%,"₽951.51B₽951,505,377,093","₽31,370,686,73819,412,263 LINK","587,099,970 LINK",
16,,17,PolygonMATIC,₽82.68,0.99%,4.08%,3.59%,"₽818.12B₽818,115,345,601","₽30,795,332,418373,812,559 MATIC","9,902,235,985 MATIC",
17,,18,NEAR ProtocolNEAR,₽646.06,1.41%,4.94%,2.26%,"₽685.29B₽685,292,572,467","₽58,443,226,16290,546,736 NEAR","1,060,400,337 NEAR",
